001, 4.28, 0.37, 8.85e+06
002, 15.33, 0.41, 7.78e+06
003, 15.88, 0.44, 9.44e+06
004, 4.53, 0.42, 8.32e+06
005, 15.84, 0.40, 9.30e+06
006, 12.60, 0.49, 9.29e+06
007, 1.61, 0.49, 8.38e+06
008, 12.66, 0.43, 8.09e+06
009, 17.65, 0.36, 9.82e+06
010, 19.44, 0.37, 8.28e+06
011, 17.02, 0.48, 9.15e+06
012, 11.86, 0.49, 8.03e+06
013, 0.31, 0.45, 9.53e+06
014, 7.20, 0.47, 7.03e+06
015, 5.75, 0.39, 7.41e+06
016, 10.51, 0.41, 9.50e+06
017, 1.51, 0.47, 9.58e+06
018, 12.56, 0.42, 8.27e+06
019, 3.49, 0.35, 8.83e+06
020, 11.91, 0.39, 9.99e+06
021, 14.56, 0.43, 8.32e+06
022, 10.01, 0.44, 9.43e+06
023, 17.34, 0.38, 8.39e+06
024, 3.58, 0.41, 8.37e+06
025, 17.91, 0.49, 7.07e+06
026, 1.55, 0.36, 9.76e+06
027, 7.89, 0.42, 6.75e+06
028, 4.99, 0.40, 9.33e+06
029, 11.33, 0.37, 6.74e+06
030, 10.00, 0.41, 8.38e+06
031, 8.65, 0.38, 9.82e+06
032, 15.78, 0.42, 8.62e+06
033, 0.86, 0.43, 7.79e+06
034, 10.73, 0.39, 8.50e+06
035, 5.57, 0.44, 7.65e+06
036, 6.16, 0.49, 7.75e+06
037, 7.72, 0.36, 6.67e+06
038, 13.44, 0.46, 9.63e+06
039, 1.93, 0.45, 9.49e+06
040, 15.19, 0.50, 7.49e+06
