001, 7.49, 0.44, 9.23e+06
002, 11.04, 0.48, 9.87e+06
003, 16.55, 0.40, 8.56e+06
004, 19.03, 0.46, 7.82e+06
005, 9.22, 0.46, 9.91e+06
006, 15.56, 0.49, 9.62e+06
007, 1.05, 0.48, 9.43e+06
008, 5.10, 0.46, 9.44e+06
009, 4.59, 0.38, 9.57e+06
010, 19.50, 0.36, 8.26e+06
011, 18.96, 0.36, 6.97e+06
012, 4.38, 0.41, 1.00e+07
013, 13.38, 0.48, 6.97e+06
014, 9.32, 0.49, 8.02e+06
015, 13.80, 0.46, 9.54e+06
016, 15.74, 0.38, 7.60e+06
017, 10.77, 0.45, 8.75e+06
018, 13.77, 0.42, 8.46e+06
019, 17.17, 0.39, 8.16e+06
020, 19.53, 0.45, 9.40e+06
021, 4.11, 0.36, 6.70e+06
022, 7.35, 0.36, 7.79e+06
023, 15.42, 0.45, 7.80e+06
024, 11.38, 0.47, 8.12e+06
025, 1.98, 0.50, 9.82e+06
026, 4.50, 0.35, 8.42e+06
027, 2.63, 0.48, 7.17e+06
028, 14.43, 0.37, 9.09e+06
029, 14.56, 0.39, 7.25e+06
030, 10.13, 0.41, 9.66e+06
031, 17.56, 0.45, 6.71e+06
032, 5.28, 0.36, 7.43e+06
033, 1.29, 0.42, 8.79e+06
034, 11.36, 0.43, 7.43e+06
035, 4.58, 0.38, 8.24e+06
036, 19.68, 0.36, 9.68e+06
037, 19.08, 0.45, 9.80e+06
038, 5.60, 0.48, 7.78e+06
039, 16.39, 0.48, 7.84e+06
040, 17.94, 0.46, 8.68e+06
