001, 13.89, 0.38, 6.85e+06
002, 3.24, 0.37, 6.54e+06
003, 12.30, 0.36, 7.43e+06
004, 1.40, 0.37, 7.42e+06
005, 5.90, 0.49, 9.17e+06
006, 17.69, 0.46, 8.36e+06
007, 4.43, 0.39, 9.92e+06
008, 14.68, 0.37, 6.87e+06
009, 17.31, 0.40, 9.22e+06
010, 8.87, 0.41, 9.09e+06
011, 5.45, 0.38, 7.98e+06
012, 5.68, 0.36, 7.37e+06
013, 19.53, 0.37, 8.08e+06
014, 16.71, 0.40, 9.37e+06
015, 1.10, 0.42, 9.57e+06
016, 14.44, 0.48, 8.28e+06
017, 1.19, 0.42, 7.35e+06
018, 2.31, 0.49, 9.47e+06
019, 13.70, 0.35, 8.89e+06
020, 13.94, 0.46, 9.42e+06
021, 16.56, 0.36, 7.49e+06
022, 3.04, 0.42, 8.01e+06
023, 3.58, 0.46, 6.67e+06
024, 2.22, 0.35, 8.37e+06
025, 6.38, 0.48, 6.67e+06
026, 17.45, 0.37, 6.93e+06
027, 5.62, 0.50, 7.44e+06
028, 6.86, 0.41, 6.55e+06
029, 11.79, 0.49, 9.70e+06
030, 18.43, 0.42, 7.25e+06
031, 12.45, 0.42, 9.86e+06
032, 3.56, 0.47, 9.46e+06
033, 0.19, 0.43, 7.89e+06
034, 10.39, 0.48, 8.01e+06
035, 6.01, 0.37, 9.92e+06
036, 13.26, 0.49, 8.16e+06
037, 14.76, 0.43, 7.84e+06
038, 11.09, 0.37, 9.37e+06
039, 3.24, 0.43, 8.82e+06
040, 17.95, 0.36, 7.59e+06
