001, 11.35, 0.49, 8.93e+06
002, 16.20, 0.47, 7.97e+06
003, 13.58, 0.43, 7.23e+06
004, 2.95, 0.44, 7.18e+06
005, 5.72, 0.39, 8.12e+06
006, 1.97, 0.43, 8.25e+06
007, 6.38, 0.38, 8.58e+06
008, 1.99, 0.36, 8.21e+06
009, 18.71, 0.43, 8.39e+06
010, 14.41, 0.38, 8.97e+06
011, 3.55, 0.41, 7.55e+06
012, 1.45, 0.44, 6.83e+06
013, 0.07, 0.45, 7.72e+06
014, 8.49, 0.47, 9.06e+06
015, 7.42, 0.41, 7.39e+06
016, 12.10, 0.40, 6.74e+06
017, 7.08, 0.43, 8.58e+06
018, 5.07, 0.42, 6.93e+06
019, 1.21, 0.35, 7.42e+06
020, 18.13, 0.46, 8.60e+06
021, 8.58, 0.40, 9.65e+06
022, 2.93, 0.38, 6.81e+06
023, 14.40, 0.48, 6.94e+06
024, 7.64, 0.48, 1.00e+07
025, 19.38, 0.46, 9.18e+06
026, 2.50, 0.37, 8.99e+06
027, 18.14, 0.40, 9.46e+06
028, 10.11, 0.44, 6.81e+06
029, 15.02, 0.45, 8.69e+06
030, 0.13, 0.45, 8.36e+06
031, 12.39, 0.36, 8.68e+06
032, 8.76, 0.35, 6.99e+06
033, 6.78, 0.38, 8.03e+06
034, 8.52, 0.39, 9.05e+06
035, 7.84, 0.47, 7.17e+06
036, 15.56, 0.42, 7.41e+06
037, 18.42, 0.37, 8.06e+06
038, 2.60, 0.46, 8.45e+06
039, 7.35, 0.44, 9.55e+06
040, 2.92, 0.48, 8.25e+06
