001, 16.15, 0.43, 6.86e+06
002, 4.69, 0.39, 7.67e+06
003, 11.66, 0.39, 7.43e+06
004, 19.23, 0.46, 9.60e+06
005, 9.17, 0.43, 9.81e+06
006, 2.11, 0.40, 9.40e+06
007, 7.84, 0.49, 8.81e+06
008, 5.73, 0.45, 8.35e+06
009, 18.73, 0.49, 8.07e+06
010, 0.80, 0.42, 9.41e+06
011, 7.00, 0.49, 8.89e+06
012, 8.62, 0.45, 7.97e+06
013, 6.74, 0.47, 8.60e+06
014, 6.80, 0.41, 7.35e+06
015, 1.62, 0.44, 8.13e+06
016, 3.77, 0.41, 8.71e+06
017, 10.03, 0.35, 9.28e+06
018, 18.33, 0.38, 7.60e+06
019, 2.90, 0.45, 8.84e+06
020, 16.23, 0.35, 8.33e+06
021, 3.97, 0.44, 9.47e+06
022, 13.03, 0.42, 7.57e+06
023, 16.40, 0.47, 9.78e+06
024, 12.34, 0.46, 6.88e+06
025, 12.17, 0.47, 7.50e+06
026, 15.69, 0.36, 9.52e+06
027, 10.79, 0.48, 9.97e+06
028, 12.50, 0.44, 6.67e+06
029, 9.87, 0.50, 7.54e+06
030, 6.55, 0.48, 7.21e+06
031, 3.16, 0.35, 7.34e+06
032, 13.44, 0.40, 9.93e+06
033, 12.66, 0.40, 8.27e+06
034, 0.98, 0.43, 7.04e+06
035, 5.20, 0.46, 9.85e+06
036, 17.93, 0.37, 6.91e+06
037, 6.44, 0.47, 9.31e+06
038, 16.16, 0.41, 9.86e+06
039, 15.05, 0.48, 7.19e+06
040, 0.55, 0.47, 8.70e+06
