001, 3.84, 0.37, 8.79e+06
002, 15.34, 0.48, 7.57e+06
003, 0.86, 0.45, 9.72e+06
004, 13.74, 0.36, 9.34e+06
005, 1.27, 0.49, 6.79e+06
006, 7.53, 0.47, 7.63e+06
007, 18.79, 0.43, 9.35e+06
008, 9.22, 0.41, 8.58e+06
009, 7.73, 0.48, 7.54e+06
010, 18.93, 0.44, 7.77e+06
011, 15.67, 0.38, 9.79e+06
012, 6.11, 0.48, 7.24e+06
013, 0.32, 0.35, 9.22e+06
014, 1.15, 0.48, 6.63e+06
015, 10.08, 0.47, 9.13e+06
016, 8.45, 0.50, 6.83e+06
017, 17.17, 0.49, 7.26e+06
018, 5.08, 0.35, 6.64e+06
019, 11.43, 0.37, 6.77e+06
020, 18.18, 0.40, 7.91e+06
021, 6.41, 0.44, 9.19e+06
022, 8.55, 0.40, 8.61e+06
023, 9.77, 0.41, 7.92e+06
024, 15.48, 0.44, 8.44e+06
025, 10.49, 0.42, 7.65e+06
026, 13.69, 0.36, 9.92e+06
027, 9.99, 0.49, 9.80e+06
028, 19.93, 0.43, 7.71e+06
029, 4.84, 0.44, 9.92e+06
030, 12.66, 0.49, 7.22e+06
031, 16.85, 0.47, 9.74e+06
032, 14.45, 0.42, 9.45e+06
033, 0.32, 0.48, 6.68e+06
034, 0.41, 0.43, 9.01e+06
035, 9.68, 0.45, 8.34e+06
036, 7.36, 0.41, 7.68e+06
037, 9.51, 0.42, 6.96e+06
038, 16.57, 0.40, 8.32e+06
039, 7.28, 0.49, 7.84e+06
040, 5.21, 0.48, 7.53e+06
